"model_key","model_label","profile_id","effect","feature","high","low","ATE"
"gemini","Gemini",930,"ethnicity_german_minus_turkish","k08_interessen_num_words",9.7,10.9,-1.2
"gemini","Gemini",930,"ethnicity_german_minus_turkish","k09_angestrebte_position_num_words",61.95,75.2,-13.25
"gemini","Gemini",930,"ethnicity_german_minus_turkish","k10_cover_letter_snippet_num_words",78.45,87.8,-9.34999999999999
"gemini","Gemini",930,"ethnicity_german_minus_turkish","agentic_count",6.6,6.65,-0.0500000000000007
"gemini","Gemini",930,"ethnicity_german_minus_turkish","communal_count",11.25,11.65,-0.4
"gemini","Gemini",930,"ethnicity_german_minus_turkish","certainty_count",8.95,8,0.949999999999999
"gemini","Gemini",930,"ethnicity_german_minus_turkish","tentative_count",5.2,4.45,0.75
"gemini","Gemini",1416,"ethnicity_german_minus_turkish","num_nouns",143,155.05,-12.05
"gemini","Gemini",1416,"ethnicity_german_minus_turkish","num_verbs",10.45,12.25,-1.8
"gemini","Gemini",1416,"ethnicity_german_minus_turkish","num_adjectives",25.3,27.65,-2.35
"gemini","Gemini",1416,"ethnicity_german_minus_turkish","num_adverbs",8.85,10,-1.15
"gemini","Gemini",1416,"ethnicity_german_minus_turkish","num_pronouns",7.1,8.6,-1.5
"gemini","Gemini",1416,"ethnicity_german_minus_turkish","num_numerals",13.35,14.25,-0.9
"gemini","Gemini",1416,"ethnicity_german_minus_turkish","cv_total_words",360.3,393.85,-33.55
"gemini","Gemini",1416,"ethnicity_german_minus_turkish","k01_persoenliche_daten_num_words",10.6,9,1.6
"gemini","Gemini",1416,"ethnicity_german_minus_turkish","k02_profil_num_words",53.05,56.35,-3.3
"gemini","Gemini",1416,"ethnicity_german_minus_turkish","k03_faehigkeiten_num_words",31.5,36.25,-4.75
"gemini","Gemini",1416,"ethnicity_german_minus_turkish","k04_berufserfahrung_num_words",78.8,72.9,5.89999999999999
"gemini","Gemini",1416,"ethnicity_german_minus_turkish","k05_ausbildung_num_words",28.5,27.85,0.649999999999999
"gemini","Gemini",1416,"ethnicity_german_minus_turkish","k06_skills_num_words",28.65,28.1,0.549999999999997
"gemini","Gemini",1416,"ethnicity_german_minus_turkish","k07_sprachen_num_words",6.85,6.35,0.5
"gemini","Gemini",1416,"ethnicity_german_minus_turkish","k08_interessen_num_words",9.9,8.85,1.05
